scheduleId,initialized,revocable,revoked,beneficiary,cliff,start,duration,slicePeriodSeconds,amountTotal,immediatelyReleasableAmount,released,staked,withdrawn,left,rewardsPaid
0x219e87de11ee0bcd056c009e025c360c8961a72187da796a7ccb57af29f4ecee,true,true,true,0x3ec596c117117319162895579757839566A7dbbe,1652630400,1644854400,62208000,1,25000000000000000000000000,2500000000000000000000000,0,0,0,0,0
0x04aa0c9cd60faf2ddd8827a8194967d0a62a1d36e8d4b0b42231ecde6d24d6bf,true,true,true,0x7ea226f9fBAbFf6263D6937878CCa7867f2bB091,1652630400,1644854400,62208000,1,5000000000000000000000000,500000000000000000000000,1377395750661375661375661,500005000000000000000000,500005000000000000000000,0,122694307468913685083040
0xf7653549cd9980956b217c126daacdfa64ac90401798a4a1a9e3541d6aaadc5e,true,true,true,0x95fc6754D9d8686d8ce8336154b2F13Fa1865EF2,1652630400,1644854400,62208000,1,41000000000000000000000000,4100000000000000000000000,0,0,0,0,0
0xc05079b8862e9bda5c4d2b446ae49da2764220ea7f2cdca3b12958ed9a1c6782,true,true,true,0x5677e0C521044Cdc054a6E817E4b92Bd9e145C4C,1652630400,1644854400,62208000,1,66666667000000000000000000,6666666700000000000000000,0,0,0,0,0
0xd526ef970b5fc1f2576cb937efad96f067c790d9141c06f900053263b4b5103e,true,true,true,0x072c32DA56683e6781843fe9d7CC49D6b2B900c4,1652630400,1644854400,62208000,1,2200000000000000000000000,220000000000000000000000,220000000000000000000000,220005000000000000000000,220005000000000000000000,0,36327638807021928511665
0x8f60a3bd159f215c71faa0b38ccf504273f6caa374defbdcee0ff5e1b9538162,true,true,true,0x38116351BE9990C6F8661c02DC4b40d434b4AB4B,1652630400,1644854400,62208000,1,4000000000000000000000000,400000000000000000000000,1400376124338624338624338,0,0,0,0
0x7685bb22f6c5990b94db190ba334a2d5ef211fcb3d227b0e2f549b8a323139b9,true,true,true,0x7653C9364bB800E1136aa0634c4629eBe76A744E,1652630400,1644854400,62208000,1,150000000000000000000000000,15000000000000000000000000,26897822420634920634920634,14000000000000000000000000,14000000000000000000000000,0,2810792463681211812000000
0x16fc573c4c73e296bec76203842d7d4bbda44d80b2780051d52e9f84c60a5849,true,true,true,0x19c00Bbb5E494195C68937cDa517A6FfD00685f5,1652630400,1644854400,62208000,1,150000000000000000000000000,15000000000000000000000000,44137289186507936507936507,0,0,0,0
0x12643e2a3687b641fcd184bf1627fd27f77370abbf856f8575857d9d7666e53f,true,true,true,0xDD27D6CF19d08Ae1b9Fe730b55d79fcCf45f6629,1652630400,1644854400,62208000,1,1333333000000000000000000,133334000000000000000000,133334000000000000000000,0,0,0,0
0xc8c465f76f37a5daf4170eb0e60ad2f92340f38e43910a05fdf42fb42a7f0d43,true,true,true,0x8118F1f01f6aD0477312e25BF62Dfe799920f105,1652630400,1644854400,62208000,1,100000000000000000000,10000000000000000000,0,0,0,0,0
